data,ampm,bool,nome,telefone,email
08/07/2020,AM,False,Alyssa Cunningham,75-524108084,esherman@sanchez-walker.com
04/19/2020,PM,False,Ashley Mccarthy,21-825681972,eric75@frye.org
07/16/2020,PM,False,Anthony Bryant,23-297032088,gutierrezamy@wright.com
03/19/2020,PM,False,Timothy Oconnell,16-601444119,bergergabrielle@powell.info
04/07/2020,AM,True,Russell Lutz,57-219344924,traceyanthony@rodriguez.net
05/09/2020,PM,True,Desiree Hughes,76-628908966,mwade@rogers-daniel.com
11/06/2020,PM,False,Tina Grant,43-691382293,bakeramy@washington.com
10/13/2020,PM,True,Jordan Mahoney,49-798236176,perrymichelle@taylor.com
04/05/2020,AM,False,Dylan Preston,95-332838924,lyonschristopher@aguilar-richardson.com
10/21/2020,PM,True,Shannon Callahan,72-123621368,edwardsandrew@finley.com
09/16/2020,PM,False,Jesus Black,17-979422054,scottkrystal@noble.com
09/17/2020,AM,False,Douglas Lang,82-814005089,poncejonathan@wood.net
09/26/2020,AM,False,Wayne Watkins,47-446430617,jonespatrick@guzman-bell.com
01/03/2020,AM,True,Stephen Baker,63-178595259,dianajohnson@brooks.com
01/28/2020,AM,False,Lee Houston,13-006033035,johnsonsamantha@chandler.com
